state,action,reward,next state
"[217.18186950683594, 59.48446273803711, -0.005702686030417681, 35.34053881814717, 0.0]",3,"[0.8, 1.7532221034794597, -0.06405563354492187, 2.489166469934538]","[265.99578857421875, 59.47758102416992, -0.005519008729606867, 35.06444206958919, 0.0]"
"[265.99578857421875, 59.47758102416992, -0.005519008729606867, 35.06444206958919, 0.0]",2.0,"[0.8, 1.1854045579054604, -0.016069698333740234, 1.9693348595717202]","[308.7430114746094, 59.47330093383789, -0.004061679821461439, 23.708091158109205, 0.0]"
"[308.7430114746094, 59.47330093383789, -0.004061679821461439, 23.708091158109205, 0.0]",0.0,"[0.8, 1.6753397420885152, -0.03949897289276123, 2.435840769195754]","[338.41497802734375, 50.02003479003906, -0.004728145431727171, 33.5067948417703, 0.0]"
"[338.41497802734375, 50.02003479003906, -0.004728145431727171, 33.5067948417703, 0.0]",1,"[0.8, 0.7744410864792624, -0.00022245300933718682, 1.574218633469925]","[338.8922119140625, 15.129414558410645, -0.0040675923228263855, 15.488821729585247, 0.0]"
"[338.8922119140625, 15.129414558410645, -0.0040675923228263855, 15.488821729585247, 0.0]",2,"[0.8, 1.6535055367667402, -1.087188720703125e-05, 2.4534946648795333]","[366.37396240234375, 2.0037434101104736, -0.00455053336918354, 33.0701107353348, 0.0]"
"[366.37396240234375, 2.0037434101104736, -0.00455053336918354, 33.0701107353348, 0.0]",1,"[0.8, 1.5637188096596955, -0.0069316476583480835, 2.356787162001347]","[392.4212341308594, 19.203012466430664, -0.0038817403838038445, 31.274376193193905, 0.0]"
"[392.4212341308594, 19.203012466430664, -0.0038817403838038445, 31.274376193193905, 0.0]",1,"[0.8, -0.2, -3.8192793726921086e-05, 0.5999618072062731]","[392.29913330078125, 76.32352447509766, -0.005892849061638117, 64.97487371207332, 0.0]"
"[392.29913330078125, 76.32352447509766, -0.005892849061638117, 64.97487371207332, 0.0]",0.0,"[0.8, -0.2, -0.00030514793470501903, 0.599694852065295]","[392.31439208984375, 204.69338989257812, -0.004034290090203285, 98.21587896416166, 0.0]"
"[392.31439208984375, 204.69338989257812, -0.004034290090203285, 98.21587896416166, 0.0]",2.0,"[0.8, 2.0627848580828743, -3.851354122161865e-05, 2.8627463445416526]","[392.3424377441406, 296.6334228515625, -0.0035124015994369984, 41.25569716165749, 0.0]"
"[392.3424377441406, 296.6334228515625, -0.0035124015994369984, 41.25569716165749, 0.0]",2,"[0.8, 1.4675610193983954, -0.011463165283203125, 2.2560978541151924]","[375.4541320800781, 326.66839599609375, -0.0037032889667898417, 29.351220387967906, 0.0]"
"[375.4541320800781, 326.66839599609375, -0.0037032889667898417, 29.351220387967906, 0.0]",1,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]",3,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]",3,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 1.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 1.0]",3,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]",3,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]",3,"[0.8, 0.0, -0.0, 0.8]","[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]"
"[359.8038635253906, 326.6129150390625, -0.00452638603746891, 0.0, 0.0]",3,"[0.8, 0.6202741035432102, -0.05990824699401855, 1.3603658565491918]","[358.57275390625, 326.6126403808594, -0.006361713167279959, 11.327133526523756, 0.0]"
"[358.57275390625, 326.6126403808594, -0.006361713167279959, 11.327133526523756, 0.0]",0.0,"[0.8, 1.5803619343418587, -0.0009892284870147705, 2.379372705854844]","[338.6486511230469, 311.0178527832031, -0.004551639314740896, 31.60723868683717, 1.0]"
